Title,Institution,Credit Rating,Minimum deposit $,Credit,Paid,Period,Interest rate %
Banks,ANZ,AA-,"$10,000",Z,Y,1 month,2.50
Banks,ANZ,AA-,"$10,000",Z,Y,3 months,3.85
Banks,ANZ,AA-,"$10,000",Z,Y,4 months,3.90
Banks,ANZ,AA-,"$10,000",Z,Y,5 months,4.20
Banks,ANZ,AA-,"$10,000",Z,Y,6 months,4.30
Banks,ANZ,AA-,"$10,000",Z,Y,9 months,4.25
Banks,ASB,AA-,"$5,000",Z,Y,1 month,2.50
Banks,ASB,AA-,"$5,000",Z,Y,3 months,3.90
Banks,ASB,AA-,"$5,000",Z,Y,4 months,4.00
Banks,ASB,AA-,"$5,000",Z,Y,5 months,4.20
Banks,ASB,AA-,"$5,000",Z,Y,6 months,4.35
Banks,ASB,AA-,"$5,000",Z,Y,9 months,4.40
Banks,ASB,AA-,"$10,000",Q,Y,1 month,2.50
Banks,ASB,AA-,"$10,000",Q,Y,3 months,3.90
Banks,ASB,AA-,"$10,000",Q,Y,4 months,4.00
Banks,ASB,AA-,"$10,000",Q,Y,5 months,4.20
Banks,ASB,AA-,"$10,000",Q,Y,6 months,4.35
Banks,ASB,AA-,"$10,000",Q,Y,9 months,4.40
Banks,BNZ,AA-,"$2,000",Z,Z,1 month,2.50
Banks,BNZ,AA-,"$2,000",Z,Z,3 months,3.85
Banks,BNZ,AA-,"$2,000",Z,Z,4 months,3.95
Banks,BNZ,AA-,"$2,000",Z,Z,5 months,4.05
Banks,BNZ,AA-,"$2,000",Z,Z,6 months,4.30
Banks,BNZ,AA-,"$2,000",Z,Z,9 months,4.30
Banks,BNZ,AA-,"$2,000",Z,Z,7 months,4.40
Banks,BNZ,AA-,"$2,000",M,M,3 months,3.85
Banks,BNZ,AA-,"$2,000",M,M,4 months,3.95
Banks,BNZ,AA-,"$2,000",M,M,5 months,4.05
Banks,BNZ,AA-,"$2,000",M,M,6 months,4.30
Banks,BNZ,AA-,"$2,000",M,M,9 months,4.30
Banks,Bank of Baroda,BBB-,"$1,000",M,M,1 month,2.60
Banks,Bank of Baroda,BBB-,"$1,000",M,M,3 months,4.15
Banks,Bank of Baroda,BBB-,"$1,000",M,M,4 months,4.25
Banks,Bank of Baroda,BBB-,"$1,000",M,M,5 months,4.50
Banks,Bank of Baroda,BBB-,"$1,000",M,M,6 months,4.40
Banks,Bank of Baroda,BBB-,"$1,000",M,M,9 months,4.40
Banks,Bank of China,A,"$100,000",Z,Z,1 month,2.75
Banks,Bank of China,A,"$100,000",Z,Z,3 months,4.15
Banks,Bank of China,A,"$100,000",Z,Z,4 months,4.20
Banks,Bank of China,A,"$100,000",Z,Z,5 months,4.50
Banks,Bank of China,A,"$100,000",Z,Z,6 months,4.60
Banks,Bank of China,A,"$100,000",Z,Z,9 months,4.55
Banks,Bank of India,BB+,"$5,000",M,Y,1 month,2.40
Banks,Bank of India,BB+,"$5,000",M,Y,3 months,3.90
Banks,Bank of India,BB+,"$5,000",M,Y,4 months,3.90
